28, I , 185823           , 134014399    , 134015148    ,12317437,NULL,NULL,NULL, 1 LEISBURN COTTAGE ,NULL,NULL,NULL,NULL, FINSTOWN , ORKNEY , KW17 2ET , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 14.11.2008 ,NULL, 26.11.2009 , 14.11.2008 
28, I , 185830           , 134014400    , 134015148    ,12317439,NULL,NULL,NULL, 2 LEISBURN COTTAGE ,NULL,NULL,NULL,NULL, FINSTOWN , ORKNEY , KW17 2ET , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 14.11.2008 ,NULL, 26.11.2009 , 14.11.2008 
28, I , 185837           , 134014447    , 134015149    ,12317979,NULL,NULL,NULL, 1 BINSCARTH COTTAGES ,NULL,NULL,NULL,NULL, FINSTOWN , ORKNEY , KW17 2JZ , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 20.11.2008 ,NULL, 26.11.2009 , 20.11.2008 
28, I , 185844           , 134014448    , 134015149    ,12317980,NULL,NULL,NULL, 2 BINSCARTH COTTAGES ,NULL,NULL,NULL,NULL, FINSTOWN , ORKNEY , KW17 2JZ , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 20.11.2008 ,NULL, 26.11.2009 , 20.11.2008 
28, I , 185851           , 134014449    , 134015149    ,12317981,NULL,NULL,NULL, 3 BINSCARTH COTTAGES ,NULL,NULL,NULL,NULL, FINSTOWN , ORKNEY , KW17 2JZ , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 20.11.2008 ,NULL, 26.11.2009 , 20.11.2008 
28, I , 185858           , 134014198    , 134015156    ,12315702,NULL,NULL,NULL, 1 SKAILL COTTAGES ,NULL,NULL,NULL,NULL, SANDWICK , STROMNESS , KW16 3LR , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 12.11.2008 ,NULL, 27.11.2009 , 12.11.2008 
28, I , 185865           , 134007007    , 134015159    ,12319419,NULL,NULL,NULL,NULL,1,NULL, PETTICOAT LANE ,NULL, ORPHIR , ORKNEY , KW17 2RP , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 21.12.2009 , 30.10.2006 
28, I , 185872           , 134007009    , 134015159    ,12319421,NULL,NULL,NULL,NULL,3,NULL, PETTICOAT LANE ,NULL, ORPHIR , ORKNEY , KW17 2RP , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 21.12.2009 , 30.10.2006 
28, I , 185879           , 134010566    , 134015169    ,12313539,NULL,NULL,NULL, 1 GREENFIELD ,NULL,NULL, CARNESS ROAD ,NULL, ST. OLA , KIRKWALL , KW15 1UE , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 05.01.2010 , 30.10.2006 
28, I , 185886           , 134013998    , 134015210    ,12314015,NULL,NULL,NULL,NULL,3,NULL, EARLS COURT ,NULL,NULL, KIRKWALL , KW15 1XY , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 06.11.2008 ,NULL, 26.01.2010 , 06.11.2008 
28, I , 185893           , 134013999    , 134015210    ,12314016,NULL,NULL,NULL,NULL,4,NULL, EARLS COURT ,NULL,NULL, KIRKWALL , KW15 1XY , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 06.11.2008 ,NULL, 26.01.2010 , 06.11.2008 
